#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 7 days. These proxies have
# a 83.2% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Sat Jul 25 23:59:47 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
103.125.155.230,
103.125.155.234,entry is 103.125.154.1
103.125.160.178,
103.125.17.89,entry is 103.125.17.106
103.125.212.130,entry is 103.106.79.98
103.125.254.88,entry is 35.247.136.78
103.125.255.120,entry is 35.247.136.78
103.125.255.149,entry is 35.247.136.78
103.125.255.179,entry is 35.247.136.78
103.125.36.120,
103.125.38.50,
103.125.50.234,
103.125.56.83,
103.126.119.110,
103.126.20.12,entry is 203.223.89.145
103.126.20.14,entry is 203.223.89.145
103.126.218.189,entry is 103.126.218.179
103.126.86.104,entry is 103.126.86.98
103.126.86.114,entry is 103.126.86.124
103.126.86.239,
103.126.86.27,
103.126.87.115,entry is 103.126.87.112
103.126.87.120,
103.126.87.125,
103.126.87.175,
103.126.87.183,entry is 103.126.87.181
103.126.87.203,
103.126.87.230,entry is 103.126.87.82
103.126.87.70,entry is 103.126.87.182
103.127.242.229,
103.127.92.216,entry is 103.127.92.33
103.129.111.122,entry is 180.233.151.52
103.129.127.244,
103.129.180.21,entry is 183.173.254.61
103.129.180.75,entry is 103.115.44.114
103.129.200.131,entry is 103.129.200.129
103.129.202.199,entry is 103.197.48.209
103.129.94.209,entry is 5.181.178.46
103.13.204.94,entry is 103.13.204.84
103.13.235.114,
103.13.235.142,
103.13.235.162,
103.13.235.18,
103.13.235.186,
103.13.235.218,
103.13.235.26,
103.13.235.58,
103.13.235.70,
103.130.104.62,entry is 103.130.107.193
103.130.183.59,
103.130.63.15,
103.130.7.11,
103.130.70.242,entry is 103.130.70.253
103.130.82.12,entry is 103.130.82.13
103.130.82.31,entry is 103.130.82.30
103.131.104.125,
103.131.156.26,
103.131.156.90,entry is 103.229.83.106
103.131.19.30,
103.131.19.33,entry is 157.20.253.194
103.131.19.51,
103.132.152.201,
103.132.41.198,
103.132.52.122,
103.132.52.145,entry is 103.158.253.162
103.132.52.189,
103.132.53.205,entry is 103.132.52.20
103.132.54.150,
103.132.54.18,
103.132.54.242,
103.132.55.142,
103.133.214.160,entry is 206.123.156.212
103.133.24.123,
103.133.24.37,
103.133.24.5,
103.133.24.73,
103.133.24.75,
103.133.25.119,
103.133.25.149,
103.133.25.247,
103.133.27.11,
103.133.27.143,entry is 103.133.26.45
103.133.27.179,
103.133.27.229,
103.133.27.239,
103.133.61.239,
103.133.61.53,
103.133.62.30,entry is 103.133.61.179
103.133.62.52,entry is 103.133.61.184
103.133.62.56,entry is 103.133.61.191
103.133.62.66,entry is 103.133.61.165
103.134.1.14,
103.134.214.74,entry is 103.134.214.131
103.134.220.122,
103.134.220.123,
103.134.220.144,entry is 103.134.220.49
103.134.220.49,
103.134.222.182,entry is 103.134.222.170
103.134.223.1,entry is 103.134.221.52
103.134.242.125,entry is 103.134.242.121
103.134.245.127,
103.135.134.163,entry is 103.15.140.121
103.135.134.164,entry is 103.15.140.177
103.135.134.165,entry is 103.15.140.177
103.135.189.146,
103.135.189.2,
103.135.189.6,
103.135.226.66,
103.135.227.90,
103.135.48.30,
103.136.106.96,entry is 103.137.75.65
103.136.107.70,
103.136.170.55,
103.137.158.112,
103.137.185.212,
103.137.193.55,
103.137.218.166,
103.137.35.2,
103.137.69.217,entry is 202.141.230.146
103.137.85.130,entry is 103.137.84.17
103.137.91.250,
103.138.123.199,entry is 103.138.123.196
103.138.144.202,
103.138.144.238,entry is 103.138.145.228
103.138.145.119,entry is 103.138.145.102
103.138.145.150,
103.138.145.174,
103.138.145.202,
103.138.145.26,entry is 103.138.145.130
103.138.185.2,entry is 103.138.185.81
103.138.251.224,entry is 103.214.82.92
103.138.71.186,
103.138.71.19,entry is 103.138.71.189
103.138.71.200,entry is 103.138.71.186
103.139.126.211,
103.139.126.25,entry is 103.139.126.85
103.139.127.6,
103.139.242.210,entry is 103.139.242.1
103.139.246.166,
103.139.98.118,
103.139.98.177,
103.139.98.50,
103.139.98.69,
103.139.99.166,entry is 103.139.99.238
103.139.99.222,
103.139.99.230,
103.14.2.109,entry is 103.170.115.158
103.14.2.89,
103.14.231.214,
103.14.97.203,
103.140.188.105,entry is 103.140.188.144
103.140.234.38,
103.140.24.3,entry is 103.140.25.33
103.140.24.4,entry is 103.140.25.85
103.140.24.5,entry is 103.140.25.153
103.140.24.6,entry is 103.140.25.153
103.140.24.7,entry is 103.140.25.133
103.140.25.230,
103.140.74.200,
103.141.105.74,
103.141.108.252,entry is 202.58.77.40
103.141.150.147,
103.141.150.191,
103.141.150.195,
103.141.174.38,
103.141.180.254,
103.141.197.3,
103.141.66.78,
103.141.70.18,
103.142.254.100,entry is 103.142.254.101
103.142.254.102,entry is 103.142.254.101
103.142.254.144,entry is 103.142.254.101
103.142.255.121,
103.142.255.32,
103.143.105.138,
103.143.195.3,entry is 103.125.174.123
103.143.196.98,
103.143.197.90,
103.143.214.77,
103.143.214.81,
103.143.63.3,
103.143.8.126,
103.144.102.231,
103.144.102.60,
103.144.146.2,
103.144.18.33,
103.144.18.70,
103.144.18.95,
103.144.186.234,entry is 103.160.40.250
103.144.246.2,
103.144.54.23,
103.144.80.157,entry is 103.125.174.121
103.145.108.4,
103.145.109.2,
103.145.109.6,entry is 103.145.109.178
103.145.129.43,entry is 36.93.34.210
103.145.132.185,entry is 103.145.132.184
103.145.132.187,entry is 103.145.132.184
103.145.133.87,entry is 103.145.133.84
103.145.14.92,
103.145.146.3,
103.145.149.226,
103.145.34.105,entry is 103.145.34.100
103.145.34.109,
103.145.34.112,
103.145.34.129,entry is 103.145.34.9
103.145.34.133,
103.145.34.141,
103.145.34.153,
103.145.34.155,entry is 103.145.34.166
103.145.34.17,entry is 103.145.34.65
103.145.45.15,entry is 103.145.45.237
103.146.122.209,
103.146.132.16,entry is 36.64.157.154
103.146.170.244,entry is 103.146.170.65
103.146.170.252,
103.146.185.130,entry is 103.146.185.139
103.146.185.140,
103.146.185.180,
103.146.185.3,entry is 103.146.185.170
103.146.185.5,
103.146.185.81,entry is 103.146.185.85
103.146.26.146,
103.146.26.94,
103.146.38.121,
103.146.42.180,entry is 103.146.42.178
103.147.118.42,entry is 103.147.118.240
103.147.118.66,entry is 103.147.118.67
103.147.134.114,
103.147.134.115,
103.147.134.117,
103.147.211.102,
103.147.211.34,entry is 103.147.211.102
103.147.241.138,
103.147.246.235,entry is 103.147.247.169
103.147.247.169,
103.147.247.171,
103.147.247.191,
103.147.247.193,
103.147.247.198,
103.147.77.66,entry is 157.15.41.138
103.147.85.225,
103.148.10.56,entry is 103.148.11.73
103.148.130.50,
103.148.178.10,
103.148.195.11,entry is 103.148.195.22
103.148.201.74,
103.148.216.116,entry is 103.148.217.247
103.148.216.117,entry is 103.148.216.125
103.148.28.109,
103.148.28.246,
103.148.28.62,
103.148.28.97,entry is 103.148.29.41
103.148.39.34,entry is 103.148.39.50
103.148.39.38,
103.148.44.11,
103.148.44.197,
103.148.83.252,entry is 103.148.83.110
103.149.118.51,
103.149.194.11,
103.149.194.23,
103.149.75.82,
103.15.214.2,entry is 103.15.214.20
103.15.214.70,entry is 103.15.214.120
103.15.222.192,
103.15.245.132,entry is 103.15.245.139
103.15.247.245,entry is 103.146.54.25
103.150.152.27,
103.150.166.241,entry is 103.150.166.160
103.150.191.149,
103.150.206.77,
103.150.218.162,
103.150.218.78,
103.150.64.69,
103.150.68.148,
103.151.118.3,entry is 103.151.118.41
103.151.155.20,
103.151.17.42,entry is 103.151.17.201
103.151.172.34,entry is 124.225.80.84
103.151.223.219,
103.151.227.130,
103.151.227.166,entry is 103.151.226.10
103.151.246.22,
103.151.246.30,
103.152.232.110,
103.152.232.114,
103.152.232.121,
103.152.238.179,
103.152.238.21,
103.152.238.77,
103.152.238.84,
103.152.238.89,
103.152.239.107,entry is 160.20.128.27
103.152.239.127,
103.152.239.131,entry is 103.152.238.145
103.152.92.130,entry is 103.152.92.131
103.153.135.118,
103.153.149.138,
103.153.149.18,
103.153.159.217,
103.153.185.65,entry is 103.157.253.233
103.153.190.43,
103.153.190.45,
103.153.191.119,entry is 103.153.190.49
103.153.191.151,
103.153.223.23,
103.153.246.54,
103.153.246.6,
103.153.247.110,
103.153.247.69,entry is 103.153.246.61
103.153.250.1,entry is 103.153.250.65
103.153.34.101,entry is 103.153.35.5
103.153.40.194,
103.153.62.162,
103.153.62.168,entry is 38.183.146.97
103.153.62.171,entry is 103.153.62.155
103.153.62.180,
103.153.62.242,
103.153.62.245,
103.153.62.246,
103.153.62.28,entry is 38.183.144.94
103.153.62.92,entry is 38.183.146.143
103.153.63.1,entry is 45.198.20.185
103.153.63.140,entry is 103.153.63.10
103.153.63.146,
103.153.63.57,entry is 38.183.146.25
103.153.96.114,entry is 103.153.96.118
103.153.96.182,
103.154.113.242,entry is 103.154.113.243
103.154.12.5,entry is 103.154.12.2
103.154.152.62,
103.154.178.109,
103.154.178.11,
103.154.178.15,
103.154.178.192,
103.154.178.58,entry is 103.154.178.106
103.154.179.18,entry is 103.154.178.34
103.154.222.58,
103.154.224.227,
103.154.230.44,entry is 103.154.230.42
103.154.230.78,
103.154.230.79,entry is 103.154.230.78
103.154.231.123,
103.154.231.249,
103.154.231.42,entry is 103.154.230.129
103.154.24.2,
103.154.24.6,
103.154.52.5,
103.154.53.230,
103.154.76.29,
103.154.76.52,
103.154.76.90,
103.154.77.202,entry is 103.154.77.46
103.154.77.43,
103.154.77.82,
103.154.90.90,entry is 103.18.76.254
103.154.92.74,
103.155.116.238,
103.155.130.134,
103.155.130.94,entry is 103.155.130.241
103.155.166.226,
103.155.167.149,
103.155.167.237,
103.155.167.82,
103.155.168.156,entry is 103.155.168.157
103.155.168.162,entry is 103.155.168.161
103.155.168.164,
103.155.168.169,entry is 103.155.168.170
103.155.168.176,
103.155.168.88,entry is 103.155.168.90
103.155.168.96,entry is 103.155.168.98
103.155.169.200,
103.155.169.62,
103.155.184.51,
103.155.190.130,
103.155.196.134,entry is 103.155.196.131
103.155.196.160,
103.155.196.20,
103.155.196.46,
103.155.196.47,
103.155.196.65,
103.155.196.93,
103.155.197.146,
103.155.197.64,
103.155.197.87,entry is 103.155.197.84
103.155.198.163,
103.155.199.106,
103.155.199.68,
103.155.246.42,
103.155.42.38,
103.155.62.130,
103.155.64.250,
103.155.65.194,
103.156.14.15,
103.156.14.155,
103.156.14.26,entry is 157.10.97.133
103.156.14.54,
103.156.15.103,
103.156.15.105,
103.156.15.129,
103.156.15.14,
103.156.15.46,
103.156.15.73,
103.156.15.86,
103.156.16.186,
103.156.16.227,
103.156.16.234,
103.156.16.235,
103.156.16.236,
103.156.16.63,
103.156.16.67,
103.156.17.137,
103.156.17.139,
103.156.17.157,
103.156.17.161,
103.156.17.171,
103.156.17.232,
103.156.17.235,
103.156.17.237,
103.156.17.35,
103.156.17.65,
103.156.17.69,
103.156.17.83,
103.156.217.101,
103.156.219.118,
103.156.223.8,entry is 103.156.222.1
103.156.224.66,
103.156.233.129,
103.156.233.137,
103.156.233.141,entry is 103.156.233.73
103.156.233.195,
103.156.233.197,
103.156.233.25,
103.156.233.39,
103.156.233.41,
103.156.233.49,
103.156.233.57,
103.156.248.23,
103.156.248.39,
103.156.248.52,entry is 103.193.145.137
103.156.248.60,
103.156.249.112,
103.156.57.163,entry is 103.162.141.146
103.156.74.46,entry is 103.156.75.49
103.156.75.243,
103.156.75.41,
103.156.86.129,
103.156.86.131,
103.156.86.197,
103.156.96.106,entry is 103.156.96.31
103.156.96.238,
103.156.96.240,
103.156.96.30,
103.156.96.5,
103.156.96.67,
103.156.96.69,
103.156.96.70,entry is 103.156.96.242
103.157.135.199,
103.157.200.126,
103.157.58.49,
103.157.78.102,
103.157.78.117,
103.157.78.22,
103.157.78.85,
103.157.78.87,
103.157.79.154,
103.157.79.230,
103.157.79.58,
103.157.79.82,
103.157.79.93,
103.157.83.231,
103.158.121.52,entry is 165.101.230.77
103.158.121.56,entry is 165.101.230.77
103.158.121.57,entry is 165.101.230.77
103.158.121.60,entry is 165.101.230.77
103.158.121.61,entry is 165.101.230.77
103.158.13.129,entry is 103.131.18.149
103.158.13.147,entry is 103.158.13.157
103.158.13.187,entry is 103.158.13.189
103.158.155.122,entry is 103.158.155.187
103.158.162.226,
103.158.210.25,entry is 202.154.18.25
103.158.242.62,
103.158.250.164,entry is 103.158.250.38
103.158.252.67,
103.158.28.132,
103.158.62.220,entry is 103.158.62.37
103.158.97.83,
103.159.195.183,
103.159.195.193,
103.159.205.42,entry is 114.141.54.221
103.159.224.254,entry is 103.159.224.90
103.159.96.119,
103.159.96.128,
103.159.96.158,
103.159.96.195,
103.159.96.52,
103.159.96.89,entry is 103.159.96.146
103.160.12.159,
103.160.154.87,entry is 43.160.249.13
103.160.178.34,
103.160.182.33,
103.160.182.35,
103.160.202.174,
103.160.205.12,
103.160.205.208,
103.160.205.244,
103.160.205.51,
103.160.205.86,
103.160.216.102,entry is 103.160.216.105
103.160.40.10,
103.160.41.8,
103.160.56.122,entry is 103.160.56.124
103.160.56.190,entry is 103.160.56.250
