#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Aug 10 02:03:04 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
2a0b:4140:a574::2,entry is 193.233.139.106
2a0b:4140:f05f::2,entry is 213.165.43.234
2a0b:64c0:18:0:216:3eff:fe07:e9ef,entry is 76.144.40.133
2a0b:64c0:18:0:216:3eff:fe2a:ea2a,entry is 102.211.56.106
2a0b:64c0:18:0:216:3eff:fe38:581e,entry is 102.211.56.106
2a0b:64c0:18:0:216:3eff:fe46:cadb,entry is 76.144.40.133
2a0b:64c0:18:0:216:3eff:fe50:562f,entry is 76.144.40.133
2a0b:64c0:18:0:216:3eff:fe6e:b729,entry is 76.144.40.133
2a0b:64c0:18:0:216:3eff:fe89:1b93,entry is 102.211.56.106
2a0b:64c0:18:0:216:3eff:fecb:345a,entry is 102.211.56.106
2a0b:64c0:18:0:216:3eff:fef2:9563,entry is 102.211.56.106
2a0b:64c0:18:0:216:3eff:fef3:22ad,entry is 102.211.56.106
2a0b:64c0:18:0:216:3eff:fef8:fdc0,entry is 76.144.40.133
2a0b:f4c2:1::1,undocumented TOR exit
2a0d:6c2:17:520::,entry is 104.249.40.117
2a0d:d940:1a:648::2,entry is 176.192.41.172
2a0f:85c1:840:1aee::1,entry is 102.211.56.106
2a0f:85c1:840:4898::1,entry is 102.211.56.106
2a0f:85c1:840:61eb::1,entry is 102.211.56.106
2a0f:85c1:840:6d6b::1,entry is 102.211.56.106
2a0f:85c1:840:76a0::1,entry is 76.144.40.133
2a0f:85c1:840:82e5::1,entry is 102.211.56.106
2a0f:85c1:840:9723::1,entry is 102.211.56.106
2a0f:85c1:840:a614::1,entry is 76.144.40.133
2a0f:85c1:840:d1b2::1,entry is 102.211.56.106
2a0f:85c1:b73:19d::a,entry is 76.144.40.133
2a0f:85c1:b73:19e::a,entry is 76.144.40.133
2a0f:cdc6:500:2326::2,entry is 144.31.189.114
2a11:6100:0:52ec::,entry is 91.202.5.45
2a12:5940:146a::2,entry is 79.137.194.234
2a12:5940:1eb3::2,entry is 79.137.199.99
2a12:5940:200a::2,entry is 213.176.113.24
2a12:5940:449d::2,entry is 77.221.149.55
2a12:5940:4a2d::2,entry is 77.221.136.60
2a12:5940:9b85::2,entry is 85.192.63.222
2a12:5940:b7be::2,entry is 91.186.217.84
2a12:bec0:16f:243::,entry is 185.115.207.100
2a12:bec0:689:1135::,entry is 31.57.172.220
2a12:bec4:1821:2db::a,entry is 76.144.40.133
2a12:bec4:1821:588::a,entry is 76.144.40.133
2a12:bec4:1821:58e::a,entry is 76.144.40.133
2a12:bec4:1821:5a5::a,entry is 102.211.56.106
2a12:bec4:1821:5b3::a,entry is 102.211.56.106
2a12:bec4:1821:5b9::a,entry is 76.144.40.133
2a12:bec4:1821:5be::a,entry is 76.144.40.133
2a12:bec4:1821:5c3::a,entry is 76.144.40.133
2a12:bec4:1821:5cb::a,entry is 76.144.40.133
2a12:bec4:1821:642::a,entry is 102.211.56.106
2a12:bec4:1822:1d1::a,entry is 102.211.56.106
2a12:bec4:1ac0:23c::,entry is 103.137.193.55
2a12:bec4:1df0:146::a,entry is 102.211.56.106
2a12:bec4:1df0:197::a,entry is 76.144.40.133
2a12:bec4:1df0:1a9::a,entry is 102.211.56.106
2a12:bec4:1df0:1ab::a,entry is 102.211.56.106
2a12:bec4:1df0:1b9::a,entry is 76.144.40.133
2a12:bec4:1df0:1c4::a,entry is 76.144.40.133
2a12:bec4:1df0:1c8::a,entry is 102.211.56.106
