#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 7 days. These proxies have
# a 83.2% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Sun Feb 15 23:52:07 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
2804:3fbc:409:2a00::,entry is 186.250.202.104
2804:4a60::21a,entry is 45.231.101.97
2804:768::72:73,entry is 177.39.72.73
2804:828:0:128::2,entry is 177.125.208.1
2804:8624:8001:6100::1,entry is 168.197.182.222
2804:879c:4000::,entry is 187.61.98.7
2804:8:8003:4000::,entry is 187.103.105.20
2804:890:300:b::2,entry is 177.128.212.190
2804:b:8200:1011::2,entry is 186.211.157.19
2804:ea8:e0f:1e00::,entry is 186.250.29.225
2804:ea8:e0f:8a00::,entry is 186.250.29.225
2804:ea8:e0f:8c00::,entry is 186.250.29.225
2804:ef4:57e3:9900::,entry is 201.76.9.115
2806:202:6:d::9d,entry is 177.229.212.254
2806:319:1:119:464c:a8ff:fe55:212,entry is 45.168.236.54
2806:33b:1:2:ce2d:e0ff:fefb:5df3,entry is 45.175.232.75
2806:36a:400::9,entry is 45.189.252.240
2806:36b:2001::2,entry is 45.190.78.20
2806:36b:2001::46,entry is 45.190.78.47
2806:36b:2001::49,entry is 45.190.78.47
2806:3a3:3fff:ff07::2,entry is 38.156.15.156
2a00:7c80:0:3be::12,entry is 43.250.54.139
2a01:4f8:c013:44c3::1,entry is 94.182.149.92
2a01:4f8:c17:162d::1,entry is 128.140.118.165
2a01:e5c0:47e2::2,entry is 79.137.195.153
2a01:e5c0:62e5::2,entry is 62.60.231.71
2a01:e5c0:7384::2,entry is 77.110.97.209
2a01:ecc0:1000:66c::2,entry is 185.142.157.84
2a01:ecc0:40:8fb::2,entry is 64.188.124.97
2a01:f500:1:2f::2,entry is 91.231.182.148
2a02:168:2000:4::242,entry is 212.51.157.178
2a02:27ac::f59,entry is 195.123.211.251
2a02:3100:29d8:b500:c8de:8c5a:33ad:ea75,entry is 43.250.54.139
2a02:3100:a831:bc00:31ec:8079:e032:23aa,entry is 43.250.54.139
2a02:6ea0:ce14:3034::12,entry is 43.250.54.139
2a02:6ea0:ce14:3034::14,entry is 43.250.54.139
2a02:c207:2271:2545::1,entry is 173.212.215.22
2a02:c207:2274:786::1,entry is 185.182.187.49
2a02:c207:2301:6353::1,entry is 213.199.45.174
2a03:6f00:5:1::720f,entry is 213.226.126.100
2a03:6f00:a::1:5439,entry is 176.124.208.46
2a03:6f02::c817,entry is 5.129.237.45
2a03:eec0:1311::e5,entry is 165.225.72.38
2a06:c480:3200:0:fadb:88ff:fe00:b802,undocumented TOR exit
2a09:6906:dead:beaf::1,entry is 46.161.6.165
2a09:bac1:1e00:60::3a1:1c,entry is 91.107.148.58
2a09:bac1:1e00:60::3a3:37,entry is 91.107.148.58
2a09:bac1:1e00:60::47:4de,entry is 91.107.148.58
2a09:bac1:1e20:60::3a2:3d,entry is 91.107.148.58
2a09:bac1:1e20:60::3a5:1a,entry is 91.107.148.58
2a09:bac1:1e40:60::1d6:3c,entry is 91.107.148.58
2a09:bac1:1e40:60::3a0:70,entry is 91.107.148.58
2a09:bac1:1e60:60::2b8:e0,entry is 91.107.148.58
2a09:bac1:2500::1d8:1ea,entry is 65.21.201.149
2a09:bac1:3480:10::19b:10c,entry is 103.197.188.63
2a09:bac1:3480:10::19b:12,entry is 103.197.188.63
2a09:bac1:3480:10::2e5:30,entry is 103.197.188.63
2a09:bac1:3480:10::2e5:63,entry is 103.197.188.63
2a09:bac1:34a0:10::277:45,entry is 103.197.188.63
2a09:bac1:34a0:10::278:4e,entry is 103.197.188.63
2a09:bac1:34a0:10::3c1:1b,entry is 103.197.188.63
2a09:bac1:34c0:10::19b:35,entry is 103.197.188.63
2a09:bac1:34c0:10::1f1:21d,entry is 103.197.188.63
2a09:bac1:34c0:10::23:47f,entry is 103.197.188.63
2a09:bac1:34c0:10::3c5:9,entry is 103.197.188.63
2a09:bac1:34e0:10::19c:29e,entry is 103.197.188.63
2a09:bac1:76c0:238::e:32a,entry is 38.23.34.11
2a09:bac5:2809:2478::3a2:3d,entry is 91.107.148.58
2a09:bac5:280a:1282::1d8:18b,entry is 91.107.148.58
2a09:bac5:280a:2464::3a0:70,entry is 91.107.148.58
2a09:bac5:280b:2c8::47:4de,entry is 91.107.148.58
2a09:bac5:280c:246e::3a1:1c,entry is 91.107.148.58
2a09:bac5:280d:248c::3a4:19,entry is 91.107.148.58
2a09:bac5:280d:28d2::411:10,entry is 91.107.148.58
2a09:bac5:280e:28d2::411:32,entry is 91.107.148.58
2a09:bac5:280e:2c8::47:4de,entry is 91.107.148.58
2a09:bac5:2f1b:18fa::27d:6,entry is 49.13.48.65
2a09:bac5:2f1b:246e::3a1:6b,entry is 49.13.48.65
2a09:bac5:2f1b:2478::3a2:4b,entry is 49.13.48.65
2a09:bac5:2f1c:1282::1d8:199,entry is 49.13.48.65
2a09:bac5:2f1d:126e::1d6:175,entry is 49.13.48.65
2a09:bac5:2f1d:2482::3a3:1e,entry is 49.13.48.65
2a09:bac5:2f1e:2c8::47:335,entry is 49.13.48.65
2a09:bac5:3a01:18c8::278:a6,entry is 103.197.188.63
2a09:bac5:3a02:101e::19b:147,entry is 103.197.188.63
2a09:bac5:3a02:101e::19b:34,entry is 103.197.188.63
2a09:bac5:3a02:137d::1f1:20b,entry is 103.197.188.63
2a09:bac5:3a03:137d::1f1:1ed,entry is 103.197.188.63
2a09:bac5:3a03:18be::277:99,entry is 103.197.188.63
2a09:bac5:3a03:18d2::279:24,entry is 103.197.188.63
2a09:bac5:3a03:25c3::3c3:34,entry is 103.197.188.63
2a09:bac5:3a03:2723::3e6:26,entry is 103.197.188.63
2a09:bac5:3a04:137d::1f1:227,entry is 103.197.188.63
2a09:bac5:3a04:15f::23:495,entry is 103.197.188.63
2a09:bac5:3a04:18be::277:61,entry is 103.197.188.63
2a09:bac5:3a04:1d0f::2e5:19,entry is 103.197.188.63
2a09:bac5:3a04:25cd::3c4:53,entry is 103.197.188.63
2a09:bac5:3a05:25cd::3c4:a,entry is 103.197.188.63
2a09:bac5:3a06:137d::1f1:1b5,entry is 103.197.188.63
2a09:bac5:3a07:1d05::2e4:b3,entry is 103.197.188.63
2a09:bac5:3a07:25af::3c1:37,entry is 103.197.188.63
2a09:bac5:cd9c:8c::e:336,entry is 38.23.34.11
2a09:bac5:cd9c:8c::e:342,entry is 38.23.34.11
2a09:bac5:cd9f:8c::e:352,entry is 38.23.34.11
2a0a:39c0:4010:fc8f:7214:bef3:ea49:db56,entry is 183.62.76.91
2a0b:4140:685e::2,entry is 109.120.135.230
2a0b:4141:820:ec5::2,entry is 193.233.254.7
