#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Jul 27 02:00:43 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
103.156.96.238,
103.156.96.240,
103.156.96.30,
103.156.96.5,
103.156.96.67,
103.156.96.69,
103.156.96.70,entry is 103.156.96.242
103.157.135.199,
103.157.200.126,
103.157.58.49,
103.157.78.102,
103.157.78.117,
103.157.78.22,
103.157.78.85,
103.157.79.154,
103.157.79.230,
103.157.79.58,
103.157.79.82,
103.157.79.93,
103.157.83.231,
103.158.121.51,entry is 165.101.230.77
103.158.121.52,entry is 165.101.230.77
103.158.121.56,entry is 165.101.230.77
103.158.121.57,entry is 165.101.230.77
103.158.121.58,entry is 165.101.230.77
103.158.121.60,entry is 165.101.230.77
103.158.121.61,entry is 165.101.230.77
103.158.13.129,entry is 103.131.18.149
103.158.155.122,entry is 103.158.155.187
103.158.210.25,entry is 202.154.18.25
103.158.242.62,
103.158.250.164,entry is 103.158.250.38
103.158.252.67,
103.158.97.83,
103.159.195.183,
103.159.195.193,
103.159.205.42,entry is 114.141.54.221
103.159.224.254,entry is 103.159.224.90
103.159.96.119,
103.159.96.128,
103.159.96.158,
103.159.96.195,
103.159.96.89,entry is 103.159.96.146
103.160.12.159,
103.160.154.87,entry is 43.160.249.13
103.160.178.34,
103.160.182.33,
103.160.182.35,
103.160.202.174,
103.160.205.12,
103.160.205.208,
103.160.205.244,
103.160.205.51,
103.160.205.86,
103.160.216.102,entry is 103.160.216.105
103.160.41.8,
103.160.56.122,entry is 103.160.56.124
103.160.56.190,entry is 103.160.56.250
103.160.68.193,
103.160.69.161,
103.161.62.69,
103.161.68.217,entry is 35.247.136.78
103.162.106.143,entry is 103.162.106.57
103.162.16.45,
103.162.16.69,
103.162.16.8,entry is 103.162.16.40
103.162.17.205,entry is 103.162.16.7
103.162.17.207,
103.162.184.251,
103.162.220.118,entry is 202.58.77.133
103.162.54.147,
103.162.54.182,
103.162.54.26,
103.162.57.41,entry is 103.162.57.42
103.162.62.53,
103.162.63.153,entry is 103.162.63.168
103.162.63.73,
103.163.103.183,
103.163.103.208,
103.163.111.56,
103.163.13.120,
103.163.13.14,
103.163.134.99,
